Accommodates;Availability 30;Availability 365;Bathrooms;Bedrooms;Beds;Calculated host listings count;Cleaning Fee;Extra People;Guests Included;Maximum Nights;Minimum Nights;Monthly Price;Número de registros;Number of Reviews;Price;Review Scores Accuracy;Review Scores Checkin;Review Scores Cleanliness;Review Scores Communication;Review Scores Location;Review Scores Rating;Review Scores Value;Reviews per Month;Security Deposit;SquareM2;Weekly Price;Neighbourhood_mean_enc;Neighbourhood_Cleansed_mean_enc;Neighbourhood_Group_Cleansed_mean_enc;State_mean_enc;Zipcode_mean_enc;Market_mean_enc;Country_Code_mean_enc;Property_Type_mean_enc;Room_Type_mean_enc;Bed_Type_mean_enc;Calendar_Updated_mean_enc;Cancellation_Policy_mean_enc
3;0;0;1.0;1.0;1.0;1;29.684927169094365;0;1;1125;2;1349.1429632380245;1;1;70.0;9.406021350605734;9.624399615754083;9.327699868152942;9.646290303248232;9.544679317799664;91.59453957609867;9.20754263752102;0.1;184.25038605779838;33.591561154449764;369.0396443127084;132.11458333333334;135.77955474562128;85.20124262897987;65.7026598852724;124.37368421052632;66.0899232302445;66.24000746440058;67.81462841714821;87.45374637620552;66.53144502406364;77.8;62.6527209814407
3;10;156;1.0;1.0;2.0;1;29.684927169094365;0;1;1125;3;1349.1429632380245;1;0;80.0;9.406021350605734;9.624399615754083;9.327699868152942;9.646290303248232;9.544679317799664;91.59453957609867;9.20754263752102;1.9365535186280272;184.25038605779838;33.591561154449764;369.0396443127084;62.36932707355243;60.089362770394956;72.53040418364307;65.7026598852724;66.63098086124401;66.0899232302445;66.24000746440058;67.81462841714821;87.45374637620552;66.53144502406364;59.74803149606299;57.89649835409329
3;3;271;1.0;1.0;2.0;5;10.0;5;2;1125;1;1349.1429632380245;1;27;55.0;10.0;10.0;10.0;10.0;10.0;92.0;9.0;6.43;184.25038605779838;33.591561154449764;369.0396443127084;85.6644591611479;81.9640522875817;72.53040418364307;65.7026598852724;83.91395793499044;66.0899232302445;66.24000746440058;67.81462841714821;87.45374637620552;66.53144502406364;84.08147080028839;75.92205855240526
2;4;306;1.0;1.0;1.0;8;15.0;10;1;1125;1;800.0;1;37;30.0;10.0;10.0;10.0;10.0;10.0;95.0;9.0;0.99;184.25038605779838;33.591561154449764;220.0;69.59787738125293;66.31659564353272;72.53040418364307;68.06039924898577;73.11506849315069;66.0899232302445;66.24000746440058;67.81462841714821;34.44038307727379;66.53144502406364;84.08147080028839;62.6527209814407
5;0;0;1.0;4.0;4.0;1;29.684927169094365;0;1;1125;1;1349.1429632380245;1;0;65.0;9.406021350605734;9.624399615754083;9.327699868152942;9.646290303248232;9.544679317799664;91.59453957609867;9.20754263752102;1.9365535186280272;184.25038605779838;33.591561154449764;369.0396443127084;85.85172413793103;85.96174142480211;72.53040418364307;65.7026598852724;57.35294117647059;66.0899232302445;66.24000746440058;67.81462841714821;87.45374637620552;66.53144502406364;64.9090909090909;57.89649835409329
5;17;352;1.0;2.0;3.0;1;30.0;10;4;1125;1;800.0;1;14;120.0;10.0;9.0;9.0;10.0;10.0;97.0;10.0;0.38;184.25038605779838;90.02304576;250.0;67.26190476190476;66.72570907899403;70.92923046884306;65.7026598852724;60.55435229799338;66.0899232302445;66.24000746440058;67.81462841714821;87.45374637620552;66.53144502406364;59.3462441314554;57.89649835409329
8;0;96;1.0;4.0;5.0;8;30.0;20;4;1125;1;1349.1429632380245;1;0;60.0;9.406021350605734;9.624399615754083;9.327699868152942;9.646290303248232;9.544679317799664;91.59453957609867;9.20754263752102;1.9365535186280272;200.0;33.591561154449764;369.0396443127084;69.15033318147066;66.31659564353272;72.53040418364307;65.7026598852724;66.62776078604058;66.0899232302445;66.24000746440058;67.81462841714821;87.45374637620552;66.53144502406364;58.58518518518518;75.92205855240526
4;8;319;1.0;1.0;1.0;1;35.0;20;2;1125;1;1349.1429632380245;1;16;95.0;10.0;10.0;10.0;10.0;10.0;98.0;10.0;2.35;200.0;33.591561154449764;369.0396443127084;69.59787738125293;79.67575757575757;72.53040418364307;68.06039924898577;73.11506849315069;66.0899232302445;66.24000746440058;67.81462841714821;87.45374637620552;66.53144502406364;61.5;75.92205855240526
3;1;204;1.0;2.0;2.0;1;30.0;0;1;1125;2;1349.1429632380245;1;67;94.0;10.0;10.0;10.0;10.0;10.0;99.0;10.0;4.33;200.0;90.02304576;369.0396443127084;88.76190476190476;84.20994475138122;85.20124262897987;65.7026598852724;86.23299373253602;66.0899232302445;66.24000746440058;67.81462841714821;87.45374637620552;66.53144502406364;61.5;62.6527209814407
4;10;334;1.0;1.0;2.0;1;15.0;0;4;1130;1;1349.1429632380245;1;21;85.0;10.0;10.0;10.0;10.0;10.0;96.0;9.0;2.63;300.0;33.591561154449764;369.0396443127084;69.59787738125293;79.67575757575757;72.53040418364307;65.7026598852724;73.11506849315069;66.0899232302445;66.24000746440058;67.81462841714821;87.45374637620552;66.53144502406364;84.08147080028839;75.92205855240526
